Word,Definition
coax,Get smb to do smth by kindness     
coda,Passage that completes a piece of music   
coda    ,"Final part of a musical composition; an ending, esp. one that sums up what has come before"
coddle,Treat with care and tenderness       
coerce,Compel to force to make obedient      
coeval,Of the same period coexisting       
coffer    ,"Chest for storing valuables; financial resources, a treasury"
cogent,Strong convincing          
cogent    ,"Very convincing, logical"
cogitate,Think deeply mediate         
cognizant,Being fully aware of        
colander,Bowl-shaped vessel with many holes used to drain off water  
collude    ,Conspire; cooperate for illegal or fraudulent purposes
collusion,Secret agreement for a deceitful purpose      
combustion,Process of burning         
commemorate,Keep the memory of        
commensurate     ,"The same in size, extent, etc., equivalent; proportional"
commodious,Having plenty of space for what is needed  
commuter,Person who travels regularly        
compendium    ,Concise but complete summary; a list or collection
complacent    ,"Self-satisfied, smug; overly content (and therefore lazy, neglectful, or some other bad quality)"
complaisance,Tending to comply obliging willingness to please     
complaisant,Eager to please; cheerfully complying
complementary,Completing; fitting together well; filling mutual needs
compliant,"Obeying, submissive; following the requirements"
compunction,Feeling of regret for one's action      
conceal,Hide keep secret         
concede,"Give in, admit, yield; acknowledge reluctantly; grant or give up (such as giving up land after losing a war)"
conceit,Over-high opinion of too much pride      
conciliatory,"Reconciling, appeasing, attempting to make the peace; Reconciling soothing comforting mollifying        "
concord,Agreement or harmony         
concur,"Agree in opinion happen together       ; Approve, agree"
condense,Increase in density strength make laconic      
condone,"Forgive           ; Overlook, tolerate, regard as harmless"
confer,"Consult, compare views; bestow or give"
confound,"Confuse, frustrate; mix up or make worse"
congeal,Make or become stiff and solid      
conjoin,To join together         
connoisseur,"A person with good judgement (e.g.. in art)    ; Expert, especially in the fine arts; person of educated, refined tastes"
connotation,Suggestion in addition to        
connote,"Suggest or imply in addition to the precise, literal meaning"
consequential,Pompous self important         
console,"Give comfort or sympathy to       ; Lessen the suffering or grief of (verb); a control panel, or small table or cabinet (noun)"
consolidate,"Unite, combine, solidify, make coherent"
conspicuous,Easily seen remarkable         
consternation,Surprise and fear dismay        
constrain,Compel         
constrict,"Squeeze, compress; restrict the freedom of; Make tight or smaller        "
construe,Interpret or translate
consume,Get to the end of       
consummate,Perfect/make perfect/complete        
contemn,To scorn or despise        
contentious,"Controversial; prone to causing arguments, especially gratuitous or petty ones; Argumentative pugnacious combative quarrelsome        "
contextualize ,"Place in context, such as by giving the background or circumstances"
contiguous,Touching neighboring near         
contraries,Things that are opposing; either of two opposite things
contrite,Remorseful; feeling sorry for one's offenses or sins; Filled with deep sorrow for wrongdoing      
contumacious,Insubordinate rebellious          
contumacious ,Rebellious; stubbornly disobedient
conundrum,"A riddle dilemma enigma        ; Riddle, the answer to which involves a play on words; any mystery"
